"id","uuid","date","province","patrol_crime","patrol_case","patrol_exhibit","patrol_enforcement","patrol_amount","patrol_remarkcrime","patrol_othercrime","patrol_otherenforce"
447554968,NA,"2023-06-22",9,4,1,3,"[""1"", ""2""]",1,NA,NA,NA
447764084,NA,"2023-07-20",8,88,0,0,"[""88""]",0,NA,NA,NA
447844402,NA,"2023-01-31",3,3,7,136,"[""2"", ""88""]",7,NA,NA,NA
447844402,NA,"2023-01-31",3,88,3,30,"[""2"", ""88""]",3,NA,NA,NA
447844402,NA,"2023-01-31",3,88,1,2,"[""2""]",1,NA,NA,NA
447849979,NA,"2023-02-28",3,3,1,11,"[""2""]",1,NA,NA,NA
447849979,NA,"2023-02-28",3,88,2,7,"[""2""]",2,NA,NA,NA
447849979,NA,"2023-02-28",3,88,1,2,"[""2""]",1,NA,NA,NA
447857608,NA,"2023-03-31",3,3,3,19,"[""2""]",3,NA,NA,NA
447871272,NA,"2023-04-30",3,3,3,19,"[""2""]",3,NA,NA,NA
447876409,NA,"2023-05-31",3,3,1,3,"[""2""]",1,NA,NA,NA
447876409,NA,"2023-05-31",3,88,1,1,"[""2""]",1,NA,NA,NA
447880957,NA,"2023-06-30",3,3,1,11,"[""2""]",1,NA,NA,NA
447880957,NA,"2023-06-30",3,8,1,1,"[""3""]",1,NA,NA,NA
447880957,NA,"2023-06-30",3,8,1,1,"[""6""]",1,NA,NA,NA
449051135,NA,"2023-07-07",17,88,0,0,"[""88""]",0,NA,NA,NA
449092243,NA,"2023-07-07",6,2,0,0,"[""2""]",0,NA,NA,NA
449092846,NA,"2023-07-07",4,2,0,0,"[""1""]",0,NA,NA,NA
449096771,NA,"2023-07-07",12,3,4,100,"[""2""]",4,NA,NA,NA
449106486,NA,"2023-07-07",10,13,3,1,"[""1""]",0,NA,NA,NA
449106776,NA,"2023-07-07",11,3,1,3,"[""2""]",1,NA,NA,NA
449484626,NA,"2023-07-07",25,3,1,3,"[""2""]",0,NA,NA,NA
449720243,NA,"2023-05-31",14,3,5,3,"[""2""]",5,NA,NA,NA
449720243,NA,"2023-05-31",14,88,1,1,"[""6""]",1,NA,NA,NA
449773232,NA,"2023-07-07",5,88,0,0,"[""88""]",0,NA,NA,NA
450010174,NA,"2023-07-07",13,3,12,12,"[""2""]",12,NA,NA,NA
450701355,NA,"2023-07-11",3,3,2,7,"[""2""]",2,NA,NA,NA
450701355,NA,"2023-07-11",3,2,1,1,"[""2""]",1,NA,NA,NA
451025373,NA,"2023-07-14",16,88,2,2,"[""88""]",0,NA,NA,NA
451122912,NA,"2023-04-30",1,13,1,1,"[""2""]",2,NA,NA,NA
